tf,date,open,high,low,close,volume
5m,2026-05-11 09:20:00+05:30,632.0,632.0,619.95,629.05,585
5m,2026-05-11 09:25:00+05:30,629.05,646.5,629.05,645.85,1560
5m,2026-05-11 09:30:00+05:30,645.85,650.0,626.0,626.0,455
5m,2026-05-11 09:35:00+05:30,626.0,626.0,607.05,607.05,260
5m,2026-05-11 09:40:00+05:30,607.05,614.45,591.35,591.35,3705
5m,2026-05-11 09:45:00+05:30,591.35,605.0,591.35,605.0,1365
5m,2026-05-11 09:50:00+05:30,605.0,610.0,600.0,610.0,325
5m,2026-05-11 09:55:00+05:30,610.0,610.0,598.1,604.8,390
5m,2026-05-11 10:00:00+05:30,604.8,615.85,604.8,615.85,650
5m,2026-05-11 10:05:00+05:30,615.85,617.0,615.85,617.0,455
5m,2026-05-11 10:10:00+05:30,617.0,617.0,617.0,617.0,0
5m,2026-05-11 10:15:00+05:30,617.0,617.0,585.0,585.0,650
5m,2026-05-11 10:20:00+05:30,585.0,585.0,578.0,579.85,195
5m,2026-05-11 10:25:00+05:30,579.85,600.0,579.85,599.6,1235
5m,2026-05-11 10:30:00+05:30,599.6,599.6,594.3,594.3,130
5m,2026-05-11 10:35:00+05:30,594.3,594.3,588.0,588.0,845
5m,2026-05-11 10:40:00+05:30,588.0,588.0,588.0,588.0,0
5m,2026-05-11 10:45:00+05:30,588.0,588.0,583.6,583.6,65
5m,2026-05-11 10:50:00+05:30,583.6,609.0,583.6,609.0,130
5m,2026-05-11 10:55:00+05:30,609.0,609.0,607.9,609.0,325
5m,2026-05-11 11:00:00+05:30,609.0,609.0,606.0,606.0,65
5m,2026-05-11 11:05:00+05:30,606.0,620.9,606.0,619.4,325
5m,2026-05-11 11:10:00+05:30,619.4,629.0,619.4,625.0,455
5m,2026-05-11 11:15:00+05:30,625.0,632.95,625.0,632.95,65
5m,2026-05-11 11:20:00+05:30,632.95,646.95,632.95,637.25,1820
5m,2026-05-11 11:25:00+05:30,637.25,637.25,629.6,629.6,130
5m,2026-05-11 11:30:00+05:30,629.6,629.6,629.6,629.6,65
5m,2026-05-11 11:35:00+05:30,629.6,642.0,629.6,642.0,390
5m,2026-05-11 11:40:00+05:30,642.0,660.9,642.0,655.15,2405
5m,2026-05-11 11:45:00+05:30,655.15,655.15,628.0,628.0,650
5m,2026-05-11 11:50:00+05:30,628.0,635.0,628.0,635.0,65
5m,2026-05-11 11:55:00+05:30,635.0,635.0,627.35,631.95,260
5m,2026-05-11 12:00:00+05:30,631.95,638.9,630.4,630.4,195
5m,2026-05-11 12:05:00+05:30,630.4,643.0,630.4,643.0,195
5m,2026-05-11 12:10:00+05:30,643.0,643.0,635.5,638.6,260
5m,2026-05-11 12:15:00+05:30,638.6,638.6,635.05,635.05,130
5m,2026-05-11 12:20:00+05:30,635.05,635.05,635.05,635.05,0
5m,2026-05-11 12:25:00+05:30,635.05,635.05,632.05,632.05,65
5m,2026-05-11 12:30:00+05:30,632.05,632.05,631.4,631.45,260
5m,2026-05-11 12:35:00+05:30,631.45,631.45,609.0,609.0,260
5m,2026-05-11 12:40:00+05:30,609.0,655.95,609.0,655.95,195
5m,2026-05-11 12:45:00+05:30,655.95,655.95,644.05,644.05,130
5m,2026-05-11 12:50:00+05:30,644.05,646.0,644.05,646.0,65
5m,2026-05-11 12:55:00+05:30,646.0,646.0,642.95,642.95,65
5m,2026-05-11 13:00:00+05:30,642.95,642.95,634.0,634.0,130
5m,2026-05-11 13:05:00+05:30,634.0,634.0,607.0,620.0,585
5m,2026-05-11 13:10:00+05:30,620.0,645.65,620.0,645.65,520
5m,2026-05-11 13:15:00+05:30,645.65,646.8,645.0,645.0,130
5m,2026-05-11 13:20:00+05:30,645.0,650.0,645.0,645.55,130
5m,2026-05-11 13:25:00+05:30,645.55,645.55,645.55,645.55,0
5m,2026-05-11 13:30:00+05:30,645.55,645.55,645.55,645.55,0
5m,2026-05-11 13:35:00+05:30,645.55,680.0,645.55,655.8,2405
5m,2026-05-11 13:40:00+05:30,655.8,660.75,649.0,660.75,455
5m,2026-05-11 13:45:00+05:30,660.75,680.95,660.75,676.6,325
5m,2026-05-11 13:50:00+05:30,676.6,683.1,676.6,683.1,260
5m,2026-05-11 13:55:00+05:30,683.1,683.1,677.4,677.4,65
5m,2026-05-11 14:00:00+05:30,655.05,660.05,655.05,659.1,260
5m,2026-05-11 14:05:00+05:30,659.1,662.0,659.1,662.0,260
5m,2026-05-11 14:10:00+05:30,662.0,662.0,640.0,640.0,130
5m,2026-05-11 14:15:00+05:30,640.0,640.0,631.0,635.95,650
5m,2026-05-11 14:20:00+05:30,635.95,635.95,635.95,635.95,130
5m,2026-05-11 14:25:00+05:30,635.95,635.95,615.1,615.1,1105
5m,2026-05-11 14:30:00+05:30,615.1,631.2,615.1,631.2,390
5m,2026-05-11 14:35:00+05:30,631.2,638.0,620.25,620.25,390
5m,2026-05-11 14:40:00+05:30,620.25,620.3,616.0,616.0,585
5m,2026-05-11 14:45:00+05:30,615.2,617.0,593.05,599.0,1105
5m,2026-05-11 14:50:00+05:30,599.0,608.95,593.05,601.15,975
5m,2026-05-11 14:55:00+05:30,601.15,601.95,590.15,592.2,975
5m,2026-05-11 15:00:00+05:30,592.2,592.2,555.5,564.3,3250
5m,2026-05-11 15:05:00+05:30,564.3,565.3,550.0,558.0,975
5m,2026-05-11 15:10:00+05:30,558.0,558.0,549.2,557.85,195
5m,2026-05-11 15:15:00+05:30,557.85,562.0,557.85,557.95,390
5m,2026-05-11 15:20:00+05:30,557.95,561.95,556.2,561.95,975
5m,2026-05-11 15:25:00+05:30,561.95,561.95,545.2,545.2,1170
5m,2026-05-12 09:15:00+05:30,473.5,477.8,433.35,455.9,6305
5m,2026-05-12 09:20:00+05:30,455.9,455.9,421.0,421.0,4940
5m,2026-05-12 09:25:00+05:30,421.0,421.0,397.0,400.0,15405
5m,2026-05-12 09:30:00+05:30,400.0,403.0,387.5,395.15,13585
5m,2026-05-12 09:35:00+05:30,395.15,406.65,392.65,392.65,9295
5m,2026-05-12 09:40:00+05:30,392.65,407.0,392.0,399.05,5590
5m,2026-05-12 09:45:00+05:30,399.05,406.8,395.0,397.7,11245
5m,2026-05-12 09:50:00+05:30,397.7,401.55,394.65,396.75,10140
5m,2026-05-12 09:55:00+05:30,396.75,402.9,391.0,393.0,5330
5m,2026-05-12 10:00:00+05:30,393.0,395.95,385.85,393.65,4875
5m,2026-05-12 10:05:00+05:30,393.65,398.7,381.6,393.95,5330
5m,2026-05-12 10:10:00+05:30,393.95,400.95,389.35,400.0,2210
5m,2026-05-12 10:15:00+05:30,400.0,412.35,399.05,410.5,21255
5m,2026-05-12 10:20:00+05:30,410.5,414.0,382.1,382.1,18005
5m,2026-05-12 10:25:00+05:30,382.1,386.0,373.0,380.3,9295
5m,2026-05-12 10:30:00+05:30,380.3,380.95,373.05,374.8,8255
5m,2026-05-12 10:35:00+05:30,374.8,381.0,366.0,373.45,13260
5m,2026-05-12 10:40:00+05:30,373.45,391.5,371.45,384.0,11245
5m,2026-05-12 10:45:00+05:30,384.0,385.65,370.0,371.0,10205
5m,2026-05-12 10:50:00+05:30,371.0,375.0,370.55,374.15,4485
5m,2026-05-12 10:55:00+05:30,374.15,383.3,371.6,380.4,2795
5m,2026-05-12 11:00:00+05:30,380.4,380.4,361.65,362.8,10660
5m,2026-05-12 11:05:00+05:30,362.8,370.65,357.85,366.95,13455
5m,2026-05-12 11:10:00+05:30,366.95,369.7,365.0,367.2,2665
5m,2026-05-12 11:15:00+05:30,367.2,378.35,365.0,376.0,5330
5m,2026-05-12 11:20:00+05:30,376.0,378.25,371.0,371.0,3965
5m,2026-05-12 11:25:00+05:30,371.0,375.6,364.0,364.0,2470
5m,2026-05-12 11:30:00+05:30,364.0,372.55,361.75,371.4,6500
5m,2026-05-12 11:35:00+05:30,371.4,372.45,363.0,370.3,4225
5m,2026-05-12 11:40:00+05:30,370.3,376.0,369.95,375.0,18460
5m,2026-05-12 11:45:00+05:30,375.0,375.95,365.0,369.65,15860
5m,2026-05-12 11:50:00+05:30,369.65,377.8,365.55,373.8,92950
5m,2026-05-12 11:55:00+05:30,373.8,379.45,371.5,371.5,3250
5m,2026-05-12 12:00:00+05:30,370.0,370.1,363.0,366.25,6305
5m,2026-05-12 12:05:00+05:30,366.25,366.65,343.55,347.0,16185
5m,2026-05-12 12:10:00+05:30,347.0,354.7,344.75,352.45,20540
5m,2026-05-12 12:15:00+05:30,352.45,361.3,349.8,358.85,18460
5m,2026-05-12 12:20:00+05:30,358.85,361.3,354.45,360.4,9230
5m,2026-05-12 12:25:00+05:30,360.4,360.4,353.25,356.1,3705
5m,2026-05-12 12:30:00+05:30,356.1,356.1,333.0,337.0,22620
5m,2026-05-12 12:35:00+05:30,337.0,340.8,330.75,337.55,28600
5m,2026-05-12 12:40:00+05:30,336.85,346.0,335.25,342.0,24635
5m,2026-05-12 12:45:00+05:30,340.35,347.55,336.0,342.0,29120
5m,2026-05-12 12:50:00+05:30,342.0,345.65,334.6,335.85,15990
5m,2026-05-12 12:55:00+05:30,335.85,344.0,335.0,339.4,19565
5m,2026-05-12 13:00:00+05:30,339.4,344.65,338.45,343.05,17355
5m,2026-05-12 13:05:00+05:30,343.05,344.95,332.6,336.15,15145
5m,2026-05-12 13:10:00+05:30,336.15,344.05,332.0,343.95,21125
5m,2026-05-12 13:15:00+05:30,343.95,357.9,343.95,349.95,44525
5m,2026-05-12 13:20:00+05:30,349.95,351.15,340.2,342.0,10660
5m,2026-05-12 13:25:00+05:30,341.0,347.0,340.5,343.3,9815
5m,2026-05-12 13:30:00+05:30,343.3,351.1,339.3,341.6,26975
5m,2026-05-12 13:35:00+05:30,341.6,342.4,329.85,333.9,29900
5m,2026-05-12 13:40:00+05:30,333.9,333.9,322.0,327.8,34385
5m,2026-05-12 13:45:00+05:30,327.8,334.4,321.0,330.45,31395
5m,2026-05-12 13:50:00+05:30,330.45,335.75,321.0,322.0,41600
5m,2026-05-12 13:55:00+05:30,322.0,325.85,315.05,315.05,68900
5m,2026-05-12 14:00:00+05:30,315.05,316.35,307.5,310.95,85475
5m,2026-05-12 14:05:00+05:30,310.45,310.65,295.1,295.35,96525
5m,2026-05-12 14:10:00+05:30,295.35,298.9,290.5,295.7,91585
5m,2026-05-12 14:15:00+05:30,295.7,303.1,293.0,297.5,78455
5m,2026-05-12 14:20:00+05:30,297.5,312.6,296.6,310.0,95615
5m,2026-05-12 14:25:00+05:30,310.0,310.95,298.85,302.7,54015
5m,2026-05-12 14:30:00+05:30,302.55,303.45,286.0,286.35,73840
5m,2026-05-12 14:35:00+05:30,285.85,299.7,285.85,295.8,95745
5m,2026-05-12 14:40:00+05:30,295.9,301.0,293.7,296.35,62140
5m,2026-05-12 14:45:00+05:30,296.35,299.4,292.0,292.6,61035
5m,2026-05-12 14:50:00+05:30,292.6,293.95,273.25,276.05,164905
5m,2026-05-12 14:55:00+05:30,276.05,277.0,260.0,263.75,493025
5m,2026-05-12 15:00:00+05:30,264.75,264.75,244.3,252.2,917475
5m,2026-05-12 15:05:00+05:30,252.2,253.8,240.4,247.95,553735
5m,2026-05-12 15:10:00+05:30,247.95,251.0,243.15,246.75,410670
5m,2026-05-12 15:15:00+05:30,246.75,256.65,246.75,253.4,549575
5m,2026-05-12 15:20:00+05:30,253.8,254.8,245.95,250.0,523640
5m,2026-05-12 15:25:00+05:30,250.0,275.0,249.6,269.9,1051505
5m,2026-05-13 09:15:00+05:30,272.0,306.15,247.5,252.65,3592615
5m,2026-05-13 09:20:00+05:30,252.65,274.65,240.8,270.5,3749525
5m,2026-05-13 09:25:00+05:30,270.5,271.1,238.0,239.8,2887560
5m,2026-05-13 09:30:00+05:30,239.8,250.2,228.1,230.15,2847520
5m,2026-05-13 09:35:00+05:30,230.15,230.15,195.4,203.2,3113045
5m,2026-05-13 09:40:00+05:30,203.2,216.9,197.0,214.3,2342860
5m,2026-05-13 09:45:00+05:30,212.8,221.6,206.45,213.15,1666665
5m,2026-05-13 09:50:00+05:30,213.15,249.95,212.5,246.2,3131115
5m,2026-05-13 09:55:00+05:30,246.2,259.85,237.3,248.95,3139825
5m,2026-05-13 10:00:00+05:30,248.95,258.5,237.1,258.0,2642315
5m,2026-05-13 10:05:00+05:30,258.0,275.2,257.4,262.45,4386070
5m,2026-05-13 10:10:00+05:30,263.0,265.9,248.6,261.3,2148055
5m,2026-05-13 10:15:00+05:30,261.3,278.5,258.8,275.05,3013725
5m,2026-05-13 10:20:00+05:30,275.05,295.0,275.0,291.6,3618680
5m,2026-05-13 10:25:00+05:30,291.6,299.6,285.9,286.4,1924455
5m,2026-05-13 10:30:00+05:30,286.4,309.5,280.65,306.25,1693445
5m,2026-05-13 10:35:00+05:30,306.25,307.45,272.8,277.9,1499810
5m,2026-05-13 10:40:00+05:30,277.9,295.7,276.75,289.95,1071460
5m,2026-05-13 10:45:00+05:30,289.3,299.0,280.0,280.0,794820
5m,2026-05-13 10:50:00+05:30,280.0,290.65,277.55,282.3,764660
5m,2026-05-13 10:55:00+05:30,282.3,283.65,244.0,244.8,2008110
5m,2026-05-13 11:00:00+05:30,244.8,261.7,242.4,254.5,2223780
5m,2026-05-13 11:05:00+05:30,254.55,260.8,246.0,256.1,1527240
5m,2026-05-13 11:10:00+05:30,255.55,260.9,247.6,260.2,1123070
5m,2026-05-13 11:15:00+05:30,260.2,264.5,250.0,260.0,1699555
5m,2026-05-13 11:20:00+05:30,259.95,263.0,250.9,260.2,983515
5m,2026-05-13 11:25:00+05:30,260.2,261.0,251.0,257.05,673530
5m,2026-05-13 11:30:00+05:30,255.9,262.7,253.5,257.8,770770
5m,2026-05-13 11:35:00+05:30,257.8,294.6,256.35,293.9,3212560
5m,2026-05-13 11:40:00+05:30,293.9,319.0,291.75,315.8,2681965
5m,2026-05-13 11:45:00+05:30,315.8,325.0,301.05,304.65,1623050
5m,2026-05-13 11:50:00+05:30,304.0,308.8,288.65,290.65,998010
5m,2026-05-13 11:55:00+05:30,290.65,301.1,284.2,285.1,620620
5m,2026-05-13 12:00:00+05:30,285.1,301.0,285.1,297.5,734890
5m,2026-05-13 12:05:00+05:30,297.5,301.9,291.45,300.3,616590
5m,2026-05-13 12:10:00+05:30,300.3,316.2,296.35,313.3,1032850
5m,2026-05-13 12:15:00+05:30,313.3,318.2,290.2,304.85,1151800
5m,2026-05-13 12:20:00+05:30,303.5,303.5,292.4,298.4,295035
5m,2026-05-13 12:25:00+05:30,298.4,303.3,292.6,301.1,340860
5m,2026-05-13 12:30:00+05:30,301.1,305.0,288.9,292.7,541905
5m,2026-05-13 12:35:00+05:30,292.7,296.35,273.05,281.6,1104090
5m,2026-05-13 12:40:00+05:30,281.6,281.75,256.2,273.2,1348360
5m,2026-05-13 12:45:00+05:30,273.2,284.8,270.45,283.0,827385
5m,2026-05-13 12:50:00+05:30,282.5,323.85,282.5,323.85,1697800
5m,2026-05-13 12:55:00+05:30,323.85,360.7,322.3,360.7,2251730
5m,2026-05-13 13:00:00+05:30,360.7,362.7,336.15,340.35,977405
5m,2026-05-13 13:05:00+05:30,340.35,343.3,317.15,317.55,804700
5m,2026-05-13 13:10:00+05:30,317.55,333.3,316.0,321.3,496795
5m,2026-05-13 13:15:00+05:30,321.3,322.8,297.35,301.45,754130
5m,2026-05-13 13:20:00+05:30,301.45,308.4,297.0,301.0,445120
5m,2026-05-13 13:25:00+05:30,301.0,306.0,292.3,296.8,475735
5m,2026-05-13 13:30:00+05:30,294.05,326.4,293.3,321.0,907270
5m,2026-05-13 13:35:00+05:30,321.0,324.6,308.0,322.55,482625
5m,2026-05-13 13:40:00+05:30,322.55,324.75,309.0,311.2,315965
5m,2026-05-13 13:45:00+05:30,311.2,320.2,299.45,303.15,477815
5m,2026-05-13 13:50:00+05:30,304.1,312.8,300.1,301.0,306540
5m,2026-05-13 13:55:00+05:30,301.0,303.0,283.3,296.45,695370
5m,2026-05-13 14:00:00+05:30,296.45,302.95,284.8,288.8,464555
5m,2026-05-13 14:05:00+05:30,288.8,307.3,288.7,306.5,457080
5m,2026-05-13 14:10:00+05:30,306.5,314.4,302.0,311.0,629070
5m,2026-05-13 14:15:00+05:30,311.95,315.0,285.25,285.9,594620
5m,2026-05-13 14:20:00+05:30,283.45,297.2,273.75,294.6,920270
5m,2026-05-13 14:25:00+05:30,294.6,298.75,278.3,284.75,540150
5m,2026-05-13 14:30:00+05:30,284.75,295.6,283.15,291.4,357045
5m,2026-05-13 14:35:00+05:30,292.05,294.7,282.9,292.1,305760
5m,2026-05-13 14:40:00+05:30,292.1,292.6,277.0,279.3,536965
5m,2026-05-13 14:45:00+05:30,278.25,284.55,265.25,281.85,874445
5m,2026-05-13 14:50:00+05:30,281.0,287.55,275.15,282.95,379730
5m,2026-05-13 14:55:00+05:30,282.45,284.75,275.15,276.8,261820
5m,2026-05-13 15:00:00+05:30,276.8,278.7,243.35,249.4,1765400
5m,2026-05-13 15:05:00+05:30,248.55,263.4,239.0,262.25,2112305
5m,2026-05-13 15:10:00+05:30,261.05,265.5,251.2,263.85,1064440
5m,2026-05-13 15:15:00+05:30,262.8,263.65,247.95,249.7,1211275
5m,2026-05-13 15:20:00+05:30,249.85,251.2,240.6,247.4,864825
5m,2026-05-13 15:25:00+05:30,247.4,260.0,246.3,252.0,1171625
15m,2026-05-05 09:30:00+05:30,788.0,788.0,770.0,770.0,455
15m,2026-05-05 09:45:00+05:30,770.0,770.0,770.0,770.0,0
15m,2026-05-05 10:00:00+05:30,770.0,770.0,770.0,770.0,0
15m,2026-05-05 10:15:00+05:30,770.0,770.0,770.0,770.0,0
15m,2026-05-05 10:30:00+05:30,770.0,770.0,770.0,770.0,0
15m,2026-05-05 10:45:00+05:30,770.0,770.0,770.0,770.0,0
15m,2026-05-05 11:00:00+05:30,770.0,770.0,710.0,710.0,130
15m,2026-05-05 11:15:00+05:30,710.0,710.0,710.0,710.0,65
15m,2026-05-05 11:30:00+05:30,710.0,715.0,710.0,715.0,65
15m,2026-05-05 11:45:00+05:30,715.0,715.0,680.55,680.55,65
15m,2026-05-05 12:00:00+05:30,680.55,695.0,680.55,693.0,260
15m,2026-05-05 12:15:00+05:30,693.0,720.0,693.0,720.0,260
15m,2026-05-05 12:30:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 12:45:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 13:00:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 13:15:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 13:30:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 13:45:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 14:00:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 14:15:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 14:30:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 14:45:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 15:00:00+05:30,720.0,720.0,720.0,720.0,0
15m,2026-05-05 15:15:00+05:30,720.0,805.35,720.0,805.35,1495
15m,2026-05-06 09:15:00+05:30,923.05,927.05,898.35,898.35,1235
15m,2026-05-06 09:30:00+05:30,898.35,898.35,881.35,881.35,195
15m,2026-05-06 09:45:00+05:30,881.35,881.35,881.35,881.35,0
15m,2026-05-06 10:00:00+05:30,881.35,881.35,881.35,881.35,0
15m,2026-05-06 10:15:00+05:30,881.35,881.35,881.35,881.35,0
15m,2026-05-06 10:30:00+05:30,881.35,881.35,881.35,881.35,0
15m,2026-05-06 10:45:00+05:30,881.35,881.35,861.5,861.5,65
15m,2026-05-06 11:00:00+05:30,861.5,861.5,820.9,820.9,65
15m,2026-05-06 11:15:00+05:30,820.9,823.35,820.9,823.35,65
15m,2026-05-06 11:30:00+05:30,823.35,824.1,807.7,824.1,260
